Address,Attractions,Great_for_walker,Homestay_name,Price_range,Restaurant_nearby,Review,Review_number,Travel_types,number_images_Traveler,number_room_dining,number_room_suite
"214 Ly Thai To Street, Hoi An 70000 Vietnam",5,82,Green Garden Homestay,"₫250,000, - ,₫363,636",43,Excellent,117 reviews,"Families,Couples,Solo,Business,Friends"," (,52,) ",4,10
"08 Tran Quoc Toan Street, Hoi An Vietnam",12,72,Botanic Garden Homestay,"₫1,909,091, - ,₫1,954,545",39,Excellent,333 reviews,"Families,Couples,Solo,Business,Friends"," (,207,) ",20,48
"188 Nguyen Chi Thanh Street, Hoi An Vietnam",9,45,Basil Homestay and Hostel Hoi An,"₫318,182, - ,₫409,091",15,Excellent,49 reviews,"Families,Couples,Solo,Business,Friends"," (,24,) ",1,6
"83/7B Nguyen Duy Hieu Cam Chau, Hoi An 560000 Vietnam",7,68,Bana Homestay & Spa,"₫250,000, - ,₫431,818",30,Excellent,29 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"168a Nguyen Duy Hieu Street, Hoi An 560000 Vietnam",13,80,Ivy Villa Hoi An,"₫500,000, - ,₫727,273",53,Excellent,164 reviews,"Families,Couples,Solo,Business,Friends"," (,86,) ",8,18
"18 Ngo Quyen Minh An, Hoi An 560000 Vietnam",226,100,L'Ami Homestay,"Vietnam,Quang Nam Province,Hoi An",305,Excellent,24 reviews,"Families,Couples,Solo,Business,Friends"," (,32,) ",6,9
"Group 9, An Bang Beach, Cam An Ward, Hoi An 560000 Vietnam",2,74,An Bang Beach Hai An Villa,"₫568,182, - ,₫863,636",26,Excellent,11 reviews,"Families,Couples,Solo,Business,Friends"," (,12,) ",8,39
"Thon 5, Cam Thanh Ward, Cam Thanh, Hoi An 560000 Vietnam",3,71,Little May's Homestay,"₫363,636, - ,₫636,364",31,Excellent,14 reviews,"Families,Couples,Solo,Business,Friends"," (,31,) ",8,19
"05 Phan Thanh Tai Tan An, Hoi An 56000 Vietnam",11,83,Ngoc Sinh Hoi An Homestay,"₫340,909, - ,₫363,636",64,Excellent,14 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"Thanh Dong Hamlet, Cam Thanh Ward, Hoi An 560000 Vietnam",2,70,CoCo-Farm Hoi An,"₫636,364, - ,₫1,250,000",24,Excellent,23 reviews,"Families,Couples,Solo,Business,Friends"," (,29,) ",5,7
"1/1, 18 Thang 8 Street, Hoi An Vietnam",27,93,Guava Garden Homestay,"₫954,545, - ,₫1,000,000",62,Excellent,11 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"87 Cua Dai, Hoi An 560000 Vietnam",5,79,Lu Na Diamond Riverside Hotel,"Vietnam,Quang Nam Province,Hoi An",24,Excellent,11 reviews,"Families,Couples,Solo,Business,Friends"," (,12,) ",2,12
"Block 8, An Bang Beach, Hoi An Vietnam",6,89,An Bang Beach Lan's Villa,"₫522,727, - ,₫545,455",74,Excellent,1 review,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"488 Cua Dai Street, Hoi An 560000 Vietnam",24,90,Phu Thinh Boutique Resort & Spa,"₫681,818, - ,₫1,977,273",80,Excellent,"1,867 reviews","Families,Couples,Solo,Business,Friends"," (,1096,) ",114,151
"To 1, Thon Tra Que, Xa Cam Ha, Hoi An Vietnam",1,69,Hoi An Cabbage Garden Homestay,"₫318,182, - ,₫772,727",13,Excellent,16 reviews,"Families,Couples,Solo,Business,Friends"," (,14,) ",3,30
"38-40 Luu Quy Ky Street, Hoi An 560000 Vietnam",217,100,White Cloud Homestay,"₫340,909, - ,₫477,273",298,Excellent,50 reviews,"Families,Couples,Solo,Business,Friends"," (,28,) ",4,2
"111 Hai Thuong Lan Ong, Hoi An 65000 Vietnam",2,64,Golden Apple Villa,"Vietnam,Quang Nam Province,Hoi An",13,Excellent,16 reviews,"Families,Couples,Solo,Business,Friends"," (,8,) ",5,40
"18 Thang 8 Street, Hoi An 560000 Vietnam",1,63,Duck House,"₫386,364, - ,₫1,068,182",11,Excellent,12 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"12 Dao Duy Tu, Ward Cam Pho, Hoi An Vietnam",53,100,Style Homestay,"₫340,909, - ,₫477,273",133,Excellent,16 reviews,"Families,Couples,Solo,Business,Friends",,N/A,N/A
"25 Nguyen Phan Vinh Block 2, Tan Thanh, Cam An, Hoi An 560000 Vietnam",8,65,Beachside Boutique Resort Hoi An,"₫1,090,909, - ,₫1,750,000",101,Excellent,128 reviews,"Families,Couples,Solo,Business,Friends"," (,224,) ",15,48
"Thanh Nhut Village, Cam Thanh, Hoi An 560000 Vietnam",0,40,Lakeview Villa Homestay,"₫545,455, - ,₫681,818",22,Excellent,23 reviews,"Families,Couples,Solo,Business,Friends"," (,23,) ",5,24
"108 Le Hong Phong, Hoi An Vietnam",6,72,Camellia Flavor Villa,"Vietnam,Quang Nam Province,Hoi An",12,Excellent,49 reviews,"Families,Couples,Solo,Business,Friends"," (,37,) ",5,7
"76 Ba Trieu Street, Hoi An Vietnam",192,93,B&B Accommodation Service,"₫409,091, - ,₫1,477,273",232,Excellent,42 reviews,"Families,Couples,Solo,Business,Friends"," (,16,) ",1,1
"86 Tran Nhan Tong Cam Chau, Hoi An 560000 Vietnam",8,70,Hao Anh Villa Hoi An,"₫250,000, - ,₫454,545",31,Excellent,9 reviews,"Families,Couples,Solo,Business,Friends"," (,1,) ",5,6
